属性,值
实体名称,产前MRI检查
类型,Exam
别名,产前MRI; 胎儿MRI检查; 胎儿磁共振
备注,整个知识图谱的根节点，代表一次产前MRI检查场景
,
实体名称,母体产道
类型,AnatomyDomain
别名,母体产道; 产道
备注,母体侧解剖域，目前仅含宫颈管
,
实体名称,胎儿脑
类型,AnatomyDomain
别名,胎儿脑; 胎脑; 颅脑; 胎儿颅脑
备注,胎儿侧解剖域
,
实体名称,侧脑室
类型,Anatomy
别名,侧脑室
,
实体名称,后颅窝
类型,Anatomy
别名,后颅窝; 后颅凹
,
实体名称,室管膜下区
类型,Anatomy
别名,室管膜下区; 生发基质区
,
实体名称,宫颈管
类型,Anatomy
别名,宫颈管; 子宫颈管
,
实体名称,小脑
类型,Anatomy
别名,小脑
,
实体名称,小脑蚓部
类型,Anatomy
别名,小脑蚓部; 小脑蚓
,
实体名称,枕大池
类型,Anatomy
别名,枕大池; 颅后窝池; 后颅窝池
,
实体名称,胼胝体
类型,Anatomy
别名,胼胝体
,
实体名称,脉络丛
类型,Anatomy
别名,脉络丛; 脉络膜丛
,
实体名称,脑实质
类型,Anatomy
别名,脑实质; 脑白质
,
实体名称,脑皮质
类型,Anatomy
别名,脑皮质; 大脑皮质
,
实体名称,蛛网膜下腔
类型,Anatomy
别名,蛛网膜下腔
,
实体名称,透明隔腔
类型,Anatomy
别名,透明隔腔; 透明隔间腔; 透明隔
,
实体名称,侧脑室三角区宽度
类型,Measurement
别名,侧脑室三角区; 侧脑室后角; 脑室三角区; 脑室三角; 侧脑室三角; 侧脑室体后部; 侧脑室
单位,cm
是否分侧,True
模板,{side}{name}宽约{value}cm，超过正常上限{normal_max}cm，考虑{label}
,
实体名称,宫颈管长度
类型,Measurement
别名,宫颈管长度; 宫颈长度; 宫颈管
单位,cm
是否分侧,False
模板,{name}长约{value}cm，低于正常参考下限{normal_min}cm，考虑{label}
,
实体名称,小脑横径
类型,Measurement
别名,小脑横径; 小脑最大横径; 小脑半球横径
单位,cm
是否分侧,False
备注,需根据孕周判断，留占位
,
实体名称,枕大池深度
类型,Measurement
别名,枕大池深度; 枕大池; 颅后窝池; 后颅窝池
单位,cm
是否分侧,False
模板,{name}深约{value}cm，超过正常上限{normal_max}cm，考虑{label}
,
实体名称,透明隔腔宽度
类型,Measurement
别名,透明隔腔宽度; 透明隔间腔; 透明隔腔; 透明隔
单位,cm
是否分侧,False
模板,{name}宽约{value}cm，超过正常上限{normal_max}cm，考虑{label}
,
实体名称,阈值_1.0cm
类型,Threshold
单位,cm
值,1.0
标签,1.0cm
,
实体名称,阈值_2.5cm
类型,Threshold
单位,cm
值,2.5
标签,2.5cm
,
实体名称,中度扩张
类型,Severity
标签,中度扩张
范围,1.2–1.5cm
,
实体名称,增宽
类型,Severity
标签,增宽
,
实体名称,缩短
类型,Severity
标签,缩短
,
实体名称,轻度扩张
类型,Severity
标签,轻度扩张
范围,1.0–1.2cm
,
实体名称,重度扩张
类型,Severity
标签,重度扩张
范围,≥1.5cm
,
实体名称,Dandy-Walker畸形
类型,Finding
别名,Dandy-Walker; 丹迪沃克; 后颅窝囊肿
,
实体名称,室管膜下囊肿
类型,Finding
别名,室管膜下囊肿; 生发基质囊肿
,
实体名称,小脑蚓部发育不良
类型,Finding
别名,小脑蚓部发育不良; 小脑蚓部显示欠佳; 小脑蚓部缺如; 小脑蚓部发育欠佳; 小脑蚓部未见显示
,
实体名称,灰质异位
类型,Finding
别名,灰质异位; 异位灰质; 灰质异位灶
,
实体名称,胼胝体缺如
类型,Finding
别名,胼胝体未见显示; 胼胝体缺如; 胼胝体发育不良; 胼胝体未显示; 胼胝体显示不清
,
实体名称,脉络丛囊肿
类型,Finding
别名,脉络丛囊肿; 脉络膜丛囊肿
,
实体名称,脑实质信号异常
类型,Finding
别名,脑实质信号异常; 脑实质异常信号; 脑白质信号异常; 脑白质异常信号; 脑实质内异常信号
,
实体名称,脑积水
类型,Finding
别名,脑积水; 梗阻性脑积水; 交通性脑积水
,
实体名称,脑裂畸形
类型,Finding
别名,脑裂畸形; 裂隙样脑沟; 灰质异位伴脑裂
,
实体名称,蛛网膜囊肿
类型,Finding
别名,蛛网膜囊肿; 蛛网膜下腔囊肿; 蛛网膜下腔囊性灶
,
实体名称,解释_Dandy-Walker
类型,Interpretation
解释文本,提示Dandy-Walker畸形或变异，需结合小脑蚓部形态综合评估
,
实体名称,解释_室管膜下囊肿
类型,Interpretation
解释文本,提示室管膜下囊肿，需排查生发基质出血
,
实体名称,解释_小脑蚓部发育异常
类型,Interpretation
解释文本,提示小脑蚓部发育异常，需结合产前诊断，排除Dandy-Walker畸形或变异
,
实体名称,解释_神经元迁移异常
类型,Interpretation
解释文本,提示神经元迁移异常
,
实体名称,解释_胼胝体发育异常
类型,Interpretation
解释文本,提示胼胝体发育异常，需结合矢状面形态观察是否伴有脂肪瘤或囊肿
,
实体名称,解释_脉络丛囊肿
类型,Interpretation
解释文本,提示脉络丛囊肿，多为一过性，建议随访
,
实体名称,解释_脑实质病变
类型,Interpretation
解释文本,提示脑实质病变可能，需结合临床排查宫内感染或缺血缺氧
,
实体名称,解释_脑皮质发育异常
类型,Interpretation
解释文本,提示脑皮质发育异常
,
实体名称,解释_脑积水
类型,Interpretation
解释文本,提示脑积水，需排查导水管狭窄、生发基质出血或脊柱裂等
,
实体名称,解释_蛛网膜囊肿
类型,Interpretation
解释文本,提示蛛网膜囊肿可能，需随访观察
,
