实体名称,类型,别名,单位,值,标签,范围,是否分侧,模板,备注,解释文本
产前MRI检查,Exam,产前MRI; 胎儿MRI检查; 胎儿磁共振,,,,,,,整个知识图谱的根节点，代表一次产前MRI检查场景,
母体产道,AnatomyDomain,母体产道; 产道,,,,,,,母体侧解剖域，目前仅含宫颈管,
胎儿脑,AnatomyDomain,胎儿脑; 胎脑; 颅脑; 胎儿颅脑,,,,,,,胎儿侧解剖域,
侧脑室,Anatomy,侧脑室,,,,,,,,
后颅窝,Anatomy,后颅窝; 后颅凹,,,,,,,,
室管膜下区,Anatomy,室管膜下区; 生发基质区,,,,,,,,
宫颈管,Anatomy,宫颈管; 子宫颈管,,,,,,,,
小脑,Anatomy,小脑,,,,,,,,
小脑蚓部,Anatomy,小脑蚓部; 小脑蚓,,,,,,,,
枕大池,Anatomy,枕大池; 颅后窝池; 后颅窝池,,,,,,,,
胼胝体,Anatomy,胼胝体,,,,,,,,
脉络丛,Anatomy,脉络丛; 脉络膜丛,,,,,,,,
脑实质,Anatomy,脑实质; 脑白质,,,,,,,,
脑皮质,Anatomy,脑皮质; 大脑皮质,,,,,,,,
蛛网膜下腔,Anatomy,蛛网膜下腔,,,,,,,,
透明隔腔,Anatomy,透明隔腔; 透明隔间腔; 透明隔,,,,,,,,
侧脑室三角区宽度,Measurement,侧脑室三角区; 侧脑室后角; 脑室三角区; 脑室三角; 侧脑室三角,cm,,,,True,{side}{name}宽约{value}cm，超过正常上限{normal_max}cm，考虑{label},,
宫颈管长度,Measurement,宫颈管长度; 宫颈长度,cm,,,,False,{name}长约{value}cm，低于正常参考下限{normal_min}cm，考虑{label},,
小脑横径,Measurement,小脑横径; 小脑最大横径; 小脑半球横径,cm,,,,False,,需根据孕周判断，留占位,
枕大池深度,Measurement,枕大池深度,cm,,,,False,{name}深约{value}cm，超过正常上限{normal_max}cm，考虑{label},,
透明隔腔宽度,Measurement,透明隔腔宽度,cm,,,,False,{name}宽约{value}cm，超过正常上限{normal_max}cm，考虑{label},,
阈值_1.0cm,Threshold,,cm,1.0,1.0cm,,,,,
阈值_2.5cm,Threshold,,cm,2.5,2.5cm,,,,,
中度扩张,Severity,,,,中度扩张,1.2–1.5cm,,,,
增宽,Severity,,,,增宽,,,,,
缩短,Severity,,,,缩短,,,,,
轻度扩张,Severity,,,,轻度扩张,1.0–1.2cm,,,,
重度扩张,Severity,,,,重度扩张,≥1.5cm,,,,
Dandy-Walker畸形,Finding,Dandy-Walker; 丹迪沃克; 后颅窝囊肿,,,,,,,,
室管膜下囊肿,Finding,室管膜下囊肿; 生发基质囊肿,,,,,,,,
小脑蚓部发育不良,Finding,小脑蚓部发育不良; 小脑蚓部显示欠佳; 小脑蚓部缺如; 小脑蚓部发育欠佳; 小脑蚓部未见显示,,,,,,,,
灰质异位,Finding,灰质异位; 异位灰质; 灰质异位灶,,,,,,,,
胼胝体缺如,Finding,胼胝体未见显示; 胼胝体缺如; 胼胝体发育不良; 胼胝体未显示; 胼胝体显示不清,,,,,,,,
脉络丛囊肿,Finding,脉络丛囊肿; 脉络膜丛囊肿,,,,,,,,
脑实质信号异常,Finding,脑实质信号异常; 脑实质异常信号; 脑白质信号异常; 脑白质异常信号; 脑实质内异常信号,,,,,,,,
脑积水,Finding,脑积水; 梗阻性脑积水; 交通性脑积水,,,,,,,,
脑裂畸形,Finding,脑裂畸形; 裂隙样脑沟; 灰质异位伴脑裂,,,,,,,,
蛛网膜囊肿,Finding,蛛网膜囊肿; 蛛网膜下腔囊肿; 蛛网膜下腔囊性灶,,,,,,,,
解释_Dandy-Walker,Interpretation,,,,,,,,,提示Dandy-Walker畸形或变异，需结合小脑蚓部形态综合评估
解释_室管膜下囊肿,Interpretation,,,,,,,,,提示室管膜下囊肿，需排查生发基质出血
解释_小脑蚓部发育异常,Interpretation,,,,,,,,,提示小脑蚓部发育异常，需结合产前诊断，排除Dandy-Walker畸形或变异
解释_神经元迁移异常,Interpretation,,,,,,,,,提示神经元迁移异常
解释_胼胝体发育异常,Interpretation,,,,,,,,,提示胼胝体发育异常，需结合矢状面形态观察是否伴有脂肪瘤或囊肿
解释_脉络丛囊肿,Interpretation,,,,,,,,,提示脉络丛囊肿，多为一过性，建议随访
解释_脑实质病变,Interpretation,,,,,,,,,提示脑实质病变可能，需结合临床排查宫内感染或缺血缺氧
解释_脑皮质发育异常,Interpretation,,,,,,,,,提示脑皮质发育异常
解释_脑积水,Interpretation,,,,,,,,,提示脑积水，需排查导水管狭窄、生发基质出血或脊柱裂等
解释_蛛网膜囊肿,Interpretation,,,,,,,,,提示蛛网膜囊肿可能，需随访观察
