Entity Name,Type,Aliases,Unit,Value,Label,Range,Has Side,Template,Note,Text
Prenatal MRI Exam,Exam,Prenatal MRI; Fetal MRI Exam; Fetal Magnetic Resonance,,,,,,,Root node representing a prenatal MRI examination scenario,
Fetal Brain,AnatomyDomain,Fetal Brain; Fetal Cranium,,,,,,,Fetal anatomical domain,
Maternal Birth Canal,AnatomyDomain,Maternal Birth Canal; Birth Canal,,,,,,,"Maternal anatomical domain, currently containing only cervical canal",
Brain Parenchyma,Anatomy,Brain Parenchyma; White Matter,,,,,,,,
Cavum Septum Pellucidum,Anatomy,Cavum Septum Pellucidum; CSP,,,,,,,,
Cerebellar Vermis,Anatomy,Cerebellar Vermis; Vermis,,,,,,,,
Cerebellum,Anatomy,Cerebellum,,,,,,,,
Cerebral Cortex,Anatomy,Cerebral Cortex; Brain Cortex,,,,,,,,
Cervical Canal,Anatomy,Cervical Canal; Cervix,,,,,,,,
Choroid Plexus,Anatomy,Choroid Plexus,,,,,,,,
Cisterna Magna,Anatomy,Cisterna Magna; Posterior Fossa Cistern,,,,,,,,
Corpus Callosum,Anatomy,Corpus Callosum,,,,,,,,
Lateral Ventricle,Anatomy,Lateral Ventricle,,,,,,,,
Posterior Fossa,Anatomy,Posterior Fossa; Posterior Cranial Fossa,,,,,,,,
Subarachnoid Space,Anatomy,Subarachnoid Space,,,,,,,,
Subependymal Zone,Anatomy,Subependymal Zone; Germinal Matrix,,,,,,,,
Atrial Width,Measurement,Atrial Width; Ventricular Atrium; Posterior Horn,cm,,,,True,"{side}{name} width ~{value}cm, exceeds normal upper limit {normal_max}cm, consider {label}",,
CM Depth,Measurement,CM Depth,cm,,,,False,"{name} depth ~{value}cm, exceeds normal upper limit {normal_max}cm, consider {label}",,
CSP Width,Measurement,CSP Width,cm,,,,False,"{name} width ~{value}cm, exceeds normal upper limit {normal_max}cm, consider {label}",,
Cerebellar Diameter,Measurement,Cerebellar Diameter; Cerebellar Width,cm,,,,False,,"Requires gestational age assessment, placeholder",
Cervical Length,Measurement,Cervical Length; Cervix Length,cm,,,,False,"{name} length ~{value}cm, below normal reference minimum {normal_min}cm, consider {label}",,
Threshold_1.0cm,Threshold,,cm,1.0,1.0cm,,,,,
Threshold_2.5cm,Threshold,,cm,2.5,2.5cm,,,,,
Mild Dilatation,Severity,,,,Mild Dilatation,1.0–1.2cm,,,,
Moderate Dilatation,Severity,,,,Moderate Dilatation,1.2–1.5cm,,,,
Severe Dilatation,Severity,,,,Severe Dilatation,≥1.5cm,,,,
Shortened,Severity,,,,Shortened,,,,,
Widened,Severity,,,,Widened,,,,,
Arachnoid Cyst,Finding,Arachnoid Cyst; Subarachnoid Cyst,,,,,,,,
CC Agenesis,Finding,Corpus Callosum Agenesis; CC Hypoplasia; CC Absence,,,,,,,,
Cerebellar Vermis Hypoplasia,Finding,Vermis Hypoplasia; Vermis Agenesis; Vermis Underdevelopment,,,,,,,,
Choroid Plexus Cyst,Finding,Choroid Plexus Cyst; CP Cyst,,,,,,,,
Dandy-Walker Malformation,Finding,Dandy-Walker; Posterior Fossa Cyst,,,,,,,,
Heterotopia,Finding,Heterotopia; Gray Matter Heterotopia,,,,,,,,
Hydrocephalus,Finding,Hydrocephalus; Obstructive Hydrocephalus; Communicating Hydrocephalus,,,,,,,,
Parenchymal Signal Abnormality,Finding,Parenchymal Signal Abnormality; White Matter Signal Abnormality,,,,,,,,
Schizencephaly,Finding,Schizencephaly; Cleft Brain,,,,,,,,
Subependymal Cyst,Finding,Subependymal Cyst; Germinal Matrix Cyst,,,,,,,,
Interpretation_Arachnoid Cyst,Interpretation,,,,,,,,,"Suggestive of arachnoid cyst, require follow-up observation"
Interpretation_CC Anomaly,Interpretation,,,,,,,,,"Suggestive of corpus callosum developmental anomaly, require sagittal view to assess for associated lipoma or cyst"
Interpretation_CP Cyst,Interpretation,,,,,,,,,"Suggestive of choroid plexus cyst, often transient, recommend follow-up"
Interpretation_Cortical Anomaly,Interpretation,,,,,,,,,Suggestive of cortical developmental anomaly
Interpretation_Dandy-Walker,Interpretation,,,,,,,,,"Suggestive of Dandy-Walker malformation or variant, require comprehensive assessment with cerebellar vermis morphology"
Interpretation_Hydrocephalus,Interpretation,,,,,,,,,"Suggestive of hydrocephalus, require investigation for aqueductal stenosis, germinal matrix hemorrhage, or spinal dysraphism"
Interpretation_Neuronal Migration,Interpretation,,,,,,,,,Suggestive of neuronal migration disorder
Interpretation_Parenchymal Lesion,Interpretation,,,,,,,,,"Suggestive of parenchymal lesion, require clinical correlation to exclude intrauterine infection or hypoxia-ischemia"
Interpretation_Subependymal Cyst,Interpretation,,,,,,,,,"Suggestive of subependymal cyst, require investigation for germinal matrix hemorrhage"
Interpretation_Vermis Anomaly,Interpretation,,,,,,,,,"Suggestive of cerebellar vermis developmental anomaly, require prenatal diagnosis to exclude Dandy-Walker malformation or variant"
